,Date,Oprice,MaxPrice,MinPrice,CPrice,SMA,std,diff,position,yield_Rate,strategy_return,return_cum,strategy_cum,index,Cumulative_Rate,drawdown,Max_drawdown,log_return,daily_Vlt,annual_Vlt
0,20080102,5349.763000000001,5404.928000000001,5283.448,5385.103,0.0,0.0,0.0,0,,,,,0,,0,0,0.0,0,0
1,20080103,5381.147,5422.673000000001,5315.948,5422.034000000001,0.0,0.0,0.0,0,0.00685799324544023,0.0,1.0068579932454402,1.0,1,1.0,0,0,-0.009153600838789371,0,0
2,20080104,5430.63,5499.085,5422.456,5483.65,0.0,0.0,0.0,0,0.011364001037248883,0.0,1.0182999285250438,1.0,2,2.0,0,0,-0.009130605326386543,0,0
3,20080107,5480.441999999999,5569.151999999999,5455.501,5556.593000000001,0.0,0.0,0.0,0,0.013301906576824063,0.0,1.0318452590414706,1.0,3,3.0,0,0,-0.017276951774949225,0,0
4,20080108,5575.95,5630.624,5485.234,5528.054,5475.086799999999,63.92776729841275,-52.96720000000096,0,-0.005136060891989147,-0.0,1.0265456389599232,1.0,4,4.0,0,0,0.012421632257848668,0,0
5,20080109,5507.116,5614.678000000001,5490.305,5613.758000000001,5520.8178,64.97660009695814,-92.94020000000091,0,0.015503466500146557,0.0,1.04246065488441,1.0,5,5.0,0,0,-0.022360510039909062,0,0
6,20080110,5631.645,5707.6669999999995,5602.594,5672.154,5570.8418,65.94269665216943,-101.3122000000003,1,0.010402300918564755,0.0,1.0533046443122818,1.0,6,6.0,0,0,-0.010056083713490909,0,0
7,20080111,5688.563,5702.571999999999,5629.638000000001,5699.147,5613.9412,65.290457444867,-85.20579999999973,1,0.004758862329901303,0.004758862329901303,1.0583171761060095,1.0047588623299013,7,7.0047588623299015,0,0,-0.005078351533550052,0,0
8,20080114,5717.525,5756.919,5679.286999999999,5731.757,5648.974,71.79064071868962,-82.78299999999945,1,0.005721908910228057,0.005721908910228057,1.064372770585818,1.0105080010168974,8,8.015266863346799,0,0,-0.0045207475049032055,0,0
9,20080115,5743.431,5754.107,5652.04,5696.45,5682.653200000001,39.320127382295816,-13.796799999999166,0,-0.006159891286389163,-0.006159891286389163,1.0578163500308164,1.0042833815866068,9,9.019550244933406,0,0,0.017717840366599263,0,0
10,20080116,5642.566,5642.566,5498.39,5505.717,5661.045,79.94455683534689,155.32800000000043,0,-0.03348278313686592,-0.0,1.0223977145841034,1.0042833815866068,10,10.023833626520013,0,0,0.03549370632492229,0,0
11,20080117,5445.803000000001,5533.65,5226.639,5365.624,5599.7390000000005,141.64299489773578,234.1150000000007,-1,-0.025445005618704997,-0.0,0.9963827989919598,1.0042833815866068,11,11.02811700810662,0,0,0.016220295184628575,0,0
12,20080118,5358.183000000001,5419.57,5307.496,5414.468000000001,5542.8032,147.34222503193013,128.33519999999953,-1,0.009103135068726509,-0.009103135068726509,1.0054530061913394,0.9951412543167465,12,12.023258262423365,0,0,-0.01232661270319449,0,0
13,20080121,5424.64,5434.349,5122.463,5145.734,5425.5986,179.90246031402665,279.8645999999999,-1,-0.0496325770140299,0.0496325770140299,0.9555497824275598,1.0445326792614607,13,13.067790941684827,0,0,0.07843277603722794,0,0
14,20080122,5015.428,5032.245,4708.388,4753.8679999999995,5237.0822,269.0701874547979,483.21420000000035,-1,-0.0761535672073218,0.0761535672073218,0.882781257851521,1.124077568851842,14,14.191868510536668,0,0,0.04657913022164327,0,0
15,20080123,4787.170999999999,4976.272,4751.499,4975.111,5130.961,245.8249528815172,155.85000000000036,-1,0.046539575772823305,-0.046539575772823305,0.9238655230921301,1.0717634756617307,15,15.2636319861984,0,0,-0.05038113960536072,0,0
16,20080124,5034.532999999999,5079.795999999999,4926.374,5027.213,5063.2788,216.76810662401465,36.06580000000031,-1,0.010472530160633653,-0.010472530160633653,0.933540732647082,1.0605394003377977,16,16.324171386536197,0,0,0.002314111328674216,0,0
17,20080125,5022.896,5121.407999999999,4966.519,5077.429,4995.871,133.48361450455286,-81.55799999999999,0,0.009988834767892252,-0.009988834767892252,0.9428657167745909,1.049945847502984,17,17.37411723403918,0,0,-0.0031031482442783324,0,0
18,20080128,5038.5070000000005,5038.5070000000005,4711.277,4731.883,4913.100799999999,142.87448480453057,181.21779999999944,0,-0.06805530909442559,-0.0,0.8786986989849589,1.049945847502984,18,18.42406308154216,0,0,0.06046083422739855,0,0
19,20080129,4742.901,4845.657999999999,4688.728,4762.083,4914.7438,141.06976013079498,152.66080000000056,-1,0.006382237261572055,0.0,0.8843067625633155,1.049945847502984,19,19.474008929045144,0,0,-0.015535776569715453,0,0
