Date,Oprice,MaxPrice,MinPrice,CPrice
20080624,2775.69,2865.903,2770.987,2851.915
20080625,2844.922,2973.173,2834.945,2969.537
20080626,2964.516,3010.278,2922.786,2980.907
20080627,2886.18,2899.836,2787.252,2816.021
20080630,2782.844,2834.272,2747.614,2791.819
20080701,2799.195,2809.381,2690.181,2698.347
20080702,2702.634,2745.939,2670.064,2699.597
20080703,2654.479,2807.682,2617.258,2760.612
20080704,2751.213,2783.847,2716.022,2741.852
20080707,2747.611,2890.985,2747.611,2882.763
20080708,2900.571,2939.143,2841.073,2901.841
20080709,2926.996,3015.271,2926.996,3015.126
20080710,2970.984,3056.905,2950.2,2973.728
20080711,2962.861,2988.197,2913.872,2953.498
20080714,2927.24,2996.592,2917.023,2975.874
20080715,2987.061,2997.666,2849.199,2852.979
20080716,2818.763,2824.881,2702.659,2745.596
20080717,2790.259,2812.992,2705.809,2718.068
20080718,2746.536,2818.064,2690.069,2815.462
20080721,2792.829,2915.293,2780.282,2911.051
20080722,2905.276,2931.447,2890.252,2904.743
20080723,2923.049,2941.972,2879.185,2883.32
20080724,2905.043,2979.748,2902.976,2977.362
20080725,2939.321,2967.719,2916.684,2939.202
20080728,2959.113,2997.604,2946.492,2960.851
20080729,2921.248,2921.248,2881.05,2905.63
20080730,2940.02,2949.943,2866.031,2884.384
20080731,2894.246,2899.069,2804.698,2805.21
20080801,2786.123,2868.679,2748.755,2840.788
20080804,2816.936,2832.895,2767.529,2773.15
20080805,2780.761,2792.742,2695.372,2703.079
20080806,2723.523,2749.099,2679.66,2721.693
20080807,2717.661,2747.884,2683.409,2720.442
20080808,2719.375,2719.375,2581.811,2591.462
20080811,2579.805,2580.72,2442.794,2456.811
20080812,2431.383,2474.324,2413.597,2444.155
20080813,2427.495,2466.086,2369.58,2444.672
20080814,2429.977,2461.238,2410.491,2443.512
20080815,2440.39,2479.151,2412.949,2447.615
20080818,2451.311,2452.626,2312.951,2313.402
20080819,2285.515,2356.191,2273.893,2348.472
20080820,2332.386,2533.303,2312.176,2532.94
20080821,2494.262,2535.862,2438.86,2443.979
20080822,2421.249,2437.432,2362.631,2404.928
20080825,2408.026,2439.907,2373.765,2400.548
20080826,2370.528,2390.655,2306.936,2331.532
20080827,2322.539,2367.717,2291.35,2325.292
20080828,2325.262,2363.563,2316.682,2335.865
20080829,2347.4,2418.051,2339.518,2391.64
20080901,2372.638,2372.638,2297.023,2309.171
20080902,2292.686,2309.206,2268.004,2285.411
20080903,2279.598,2296.032,2219.559,2245.964
20080904,2238.645,2270.411,2216.112,2251.146
20080905,2193.038,2221.093,2172.941,2183.432
20080908,2189.822,2198.761,2119.124,2126.518
20080909,2135.223,2150.988,2111.404,2139.145
20080910,2124.965,2181.253,2099.234,2143.176
20080911,2135.453,2141.995,2067.249,2072.126
20080912,2071.061,2102.979,2066.437,2077.846
20080916,2050.316,2050.316,1987.298,2000.651
20080917,1981.252,2003.908,1923.55,1929.135
20080918,1876.965,1936.735,1804.77,1895.99
20080919,2065.779,2073.113,2046.222,2073.113
20080922,2228.366,2258.424,2130.315,2207.614
20080923,2141.6,2180.368,2118.92,2123.478
20080924,2072.652,2139.222,2050.967,2138.853
20080925,2143.729,2256.271,2139.616,2223.532
20080926,2234.459,2257.161,2192.129,2243.657
20081006,2206.563,2206.563,2128.271,2128.696
20081007,2043.923,2136.124,2024.648,2102.448
20081008,2041.991,2073.067,2000.522,2022.881
20081009,2059.585,2063.304,1993.01,1995.297
20081010,1913.265,1938.215,1881.673,1906.96
20081013,1889.754,1985.63,1841.533,1985.486
20081014,2054.408,2060.488,1934.459,1934.619
20081015,1911.032,1930.634,1892.015,1914.356
20081016,1833.482,1866.902,1818.933,1820.903
20081017,1837.914,1851.332,1805.667,1833.262
20081020,1828.414,1899.347,1802.095,1896.733
20081021,1901.244,1928.194,1880.517,1881.406
20081022,1854.6,1887.305,1832.446,1833.323
20081023,1794.681,1836.413,1779.134,1834.78
20081024,1831.463,1840.884,1769.11,1781.598
20081027,1746.668,1746.668,1652.792,1654.671
20081028,1614.616,1716.306,1607.674,1705.82
20081029,1723.234,1731.256,1657.653,1658.223
20081030,1669.968,1723.929,1646.345,1697.656
20081031,1688.09,1696.647,1655.088,1663.66
20081103,1648.556,1684.559,1643.418,1653.542
20081104,1646.201,1648.451,1606.731,1627.759
20081105,1641.264,1714.661,1641.264,1691.42
20081106,1648.127,1661.441,1638.344,1649.776
20081107,1618.753,1690.105,1612.739,1677.827
20081110,1714.123,1803.119,1714.123,1801.665
20081111,1795.301,1824.929,1778.332,1781.361
20081112,1758.479,1806.23,1754.288,1801.823
20081113,1777.031,1891.942,1765.635,1874.082
20081114,1893.309,1943.654,1874.932,1943.654
20081117,1934.737,1987.225,1919.967,1987.225
20081118,1974.378,1994.82,1831.757,1839.819
20081119,1831.597,1959.522,1823.273,1953.163
20081120,1916.7,1976.95,1900.268,1932.428
20081121,1872.265,1968.892,1835.086,1920.735
20081124,1913.993,1923.933,1835.863,1837.642
20081125,1870.055,1883.104,1801.56,1834.294
20081126,1832.114,1865.652,1815.015,1843.495
20081127,1961.891,1969.024,1870.045,1870.473
20081128,1851.103,1866.256,1815.447,1829.924
20081201,1823.769,1864.3,1799.839,1864.205
20081202,1821.543,1891.133,1814.903,1868.631
20081203,1884.601,1952.668,1884.601,1952.668
20081204,1980.445,2046.473,1978.141,1982.928
20081205,1969.741,2014.197,1965.089,2013.175
20081208,2040.474,2095.465,2033.978,2095.036
20081209,2104.124,2107.599,2038.072,2040.847
20081210,2028.514,2096.393,2014.283,2096.393
20081211,2087.43,2107.292,2043.62,2046.337
20081212,2027.069,2038.185,1936.28,1960.38
20081215,1991.551,2006.225,1941.054,1975.034
20081216,1956.995,1994.959,1919.869,1994.45
20081217,2002.029,2030.388,1995.65,2001.42
20081218,2001.048,2045.945,1982.428,2045.102
